Date;country;year
19/11/2020 21:54;Peruano;5°
20/11/2020 00:20;Mexicana;6°
20/11/2020 14:15;Peruano;5°
20/11/2020 15:08;Chilena;6°
20/11/2020 16:49;Peruano;5°
21/11/2020 02:01;Ecuatoriano;6°
23/11/2020 18:33;Brasileiro;6°
23/11/2020 18:52;Peruana;4°
25/11/2020 00:00;Peruana;6°
25/11/2020 19:06;Chilena;6°
27/11/2020 15:15;PERUANO;6°
29/11/2020 14:51;Chilena;6°
29/11/2020 22:18;Ecuatoriana;5°
29/11/2020 23:14;Peruana;6°
30/11/2020 12:09;Chilena;5°
30/11/2020 20:04;Chilena;4°
1/12/2020 18:28;Peruana;6°
2/12/2020 13:49;Peruano;6°
3/12/2020 21:52;Peruano;5°
3/12/2020 22:35;Peruana;5°
4/12/2020 19:15;Peruana;5°
6/12/2020 00:56;chilena;6°
6/12/2020 23:54;Peruano;5°
7/12/2020 00:40;Chileno;6°
7/12/2020 13:09;Chilena;6°
7/12/2020 13:58;Peruana;5°
7/12/2020 15:15;Ecuador;4°
7/12/2020 18:09;Chileno;6°
8/12/2020 13:41;chilena;6°
8/12/2020 14:23;Española;6°
8/12/2020 16:14;Chilena;6°
8/12/2020 18:41;Chilena;6°
8/12/2020 22:04;Angoleña;6°
9/12/2020 17:52;peruano;6°
9/12/2020 20:46;Chileno;6°
9/12/2020 21:37;Chileno;6°
10/12/2020 12:46;chilena - alemana;6°
10/12/2020 18:44;Peruana;4°
10/12/2020 19:01;Perú;5°
11/12/2020 20:58;Perú;5°
11/12/2020 21:17;Chilena;5°
12/12/2020 18:47;Peruana;6°
14/12/2020 00:18;Peruano;6°
14/12/2020 12:42;Chileno;6°
14/12/2020 12:44;Brasileño;4°
14/12/2020 15:24;Peruana;6°
14/12/2020 20:53;Chilena;4°
14/12/2020 21:40;Colombiano;6°
14/12/2020 22:32;Chilena;6°
15/12/2020 12:32;Peruana;4°
15/12/2020 13:38;Brasileño;5°
15/12/2020 14:08;Chilena;6°
16/12/2020 09:49;Mexicano;6°
16/12/2020 11:42;COLOMBIA;6°
16/12/2020 14:23;Brasileira;4°
16/12/2020 15:09;Peruana;6°
16/12/2020 15:14;Mexicana;6°
16/12/2020 15:44;Brasileño;6°
16/12/2020 20:26;Peruano;6°
16/12/2020 21:31;Chilena;5°
16/12/2020 21:56;Chilena;5°
17/12/2020 01:03;Argentina;5°
17/12/2020 01:21;CHILENA;6°
17/12/2020 09:23;chilena;5°
17/12/2020 12:06;Peruana;5°
17/12/2020 12:48;Chileno;4°
17/12/2020 13:18;Peruano;5°
17/12/2020 13:54;Chilena;6°
17/12/2020 18:20;chilena;5°
17/12/2020 18:27;chilena;5°
17/12/2020 18:52;Chilena;5°
17/12/2020 19:27;Colombiana;6°
17/12/2020 20:26;Chile;6°
17/12/2020 21:32;Peruano;6°
17/12/2020 22:57;Chilena;6°
17/12/2020 22:57;Chileno;6°
17/12/2020 23:39;PERUANO;4°
18/12/2020 01:59;Mexicana;6°
18/12/2020 02:02;Chilena;6°
18/12/2020 13:15;PERUANA;4°
18/12/2020 13:58;Chilena;4°
18/12/2020 14:37;PERUANA;6°
18/12/2020 15:03;Chilena;5°
18/12/2020 15:26;Colombiana;4°
18/12/2020 15:56;Chilena;6°
18/12/2020 17:01;Mexicana;6°
18/12/2020 17:03;Peruana;6°
18/12/2020 18:16;Colombiana;6°
18/12/2020 18:22;PERUANO;5°
18/12/2020 18:59;Chilena;6°
18/12/2020 19:54;Chileno;4°
18/12/2020 20:04;Colombiano;4°
18/12/2020 20:45;Venezolana;4°
18/12/2020 21:20;Peruana;5°
18/12/2020 22:55;chilena;6°
18/12/2020 22:55;Chilena;5°
18/12/2020 23:17;Chilena;6°
18/12/2020 23:26;Peruano;6°
18/12/2020 23:28;Chilena;6°
19/12/2020 00:19;Peru;6°
19/12/2020 00:50;Peruano;4°
19/12/2020 01:20;Peruano;6°
19/12/2020 04:04;Chilena;4°
19/12/2020 06:02;Chilena;4°
19/12/2020 14:13;Peruana;4°
19/12/2020 14:20;chilena;4°
20/12/2020 01:56;PERUANA;4°
20/12/2020 14:12;chilena;5°
20/12/2020 15:58;Peruana;4°
20/12/2020 16:06;Chilena;6°
20/12/2020 16:59;Chilena;4°
21/12/2020 17:57;Perú;5°
21/12/2020 19:28;Peruana;5°
